                       Compras - Últimas Movimentações                 04/01/25 
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
E/S| |Tp.NF| |  Nro Nota| | Agenda| |Data    | |   Produto| |Descrição Produto             | |   Forn.| |Sec/Grp/SGrp| |        Qtde| |Emb       | |     Custo Un| |    Custo Tot| |Vencimento| |Filial   | |Orig/Dest| |Descrição                     
S  | |V    | |     63337| |     33| |03/01/25| |     341-7| |CAPUCCINO PEQ                 | | 2012537| |056/008/001 | |           1| |UN/00001  | |         6,00| |         6,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     367-0| |VASILHAME AGUA MINERAL N.AGUA | |  210528| |029/001/001 | |           2| |GO/00001  | |        47,80| |        95,60| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     375-1| |SANDUICHE EGG S BACON         | | 2012537| |056/012/001 | |           3| |UN/00001  | |        17,50| |        52,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     378-6| |PAO QUEIJO MINEIRO UND        | | 1007351| |056/007/001 | |          11| |UN/00001  | |         5,00| |        55,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     385-9| |BOLINHO BACALHAU UND          | | 2012537| |056/001/001 | |           9| |UN/00001  | |        12,00| |       108,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     386-7| |PASTEL FOLHADO QUEIJO UND     | | 2012537| |056/003/001 | |          15| |UN/00001  | |         8,00| |       120,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     390-5| |TROUXINHA CARNE               | | 2012537| |056/003/001 | |           1| |UN/00001  | |         8,00| |         8,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     391-3| |COUVE FOLHA REGIONAL          | | 1013530| |031/002/002 | |         187| |MC/00001  | |         3,35| |       626,45| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     397-2| |CAFE C/LEITE GDE              | | 2012537| |056/008/001 | |          21| |UN/00001  | |         6,00| |       126,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     400-6| |CAPUCCINO GDE                 | | 2012537| |056/008/001 | |           1| |UN/00001  | |        12,00| |        12,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     405-7| |BRIGADEIRAO UND               | | 2012537| |056/014/001 | |           7| |UN/00001  | |         8,95| |        62,65| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     406-5| |ENROLADO PRESUNTO/QUEIJO UND  | | 2012537| |056/001/001 | |          18| |UN/00001  | |         8,00| |       144,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     449-9| |ROCAMBOLE MORANGO FATIA       | | 1023489| |056/001/001 | |           1| |UN/00001  | |         9,90| |         9,90| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     460-0| |AGUA MINERAL GELADA           | | 2012537| |056/011/001 | |          87| |UN/00001  | |         1,50| |       130,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     474-0| |REFRI PET GELADO 600ML        | | 2012537| |056/010/001 | |          40| |UN/00001  | |         5,50| |       220,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     504-5| |CAFE XICARA GDE               | | 2012537| |056/008/001 | |           3| |UN/00001  | |         5,00| |        15,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     505-3| |CAFE XICARA PEQ               | | 2012537| |056/008/001 | |           3| |UN/00001  | |         2,50| |         7,50| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     546-0| |SUCO MURUCI 300ML             | | 2012537| |056/021/001 | |           1| |UN/00001  | |         3,90| |         3,90| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     558-4| |TORTA MOUSSE ALEMA FATIA      | | 1023489| |056/002/002 | |           6| |UN/00001  | |        11,90| |        71,40| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     566-5| |MINGAU EMB ISOPOR 750ml       | | 2012537| |046/001/003 | |           6| |UN/00001  | |        16,00| |        96,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     580-0| |REFRI LATA GELADA 350ML       | | 2012537| |056/010/001 | |         130| |UN/00001  | |         4,50| |       585,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     603-3| |PIZZA FOLHADA PRES/QUEIJO UND | | 2012537| |056/004/001 | |          25| |UN/00001  | |         9,00| |       225,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     613-0| |CROISSANT PEITO PERU UND      | | 2012537| |056/004/001 | |           9| |UN/00001  | |         8,95| |        80,55| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     621-1| |BOLO PRESTIGIO FATIA          | | 2012537| |056/013/001 | |           1| |UN/00001  | |         9,00| |         9,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     623-8| |TORTA CHOCOLATE FATIA         | | 2012537| |056/019/001 | |           3| |UN/00001  | |         8,95| |        26,85| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     625-4| |TORTA BRIGADEIRO FATIA        | | 2012537| |056/019/001 | |           2| |UN/00001  | |         8,95| |        17,90| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     626-2| |TORTA CASTANHA PARA FATIA     | | 2012537| |056/019/001 | |           1| |UN/00001  | |         8,95| |         8,95| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     632-7| |TORTA PRESTIGIO FATIA         | | 2012537| |056/019/001 | |           2| |UN/00001  | |         8,95| |        17,90| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     653-0| |REFRI PET GELADO 2L           | | 2012537| |056/010/001 | |          29| |UN/00001  | |        11,00| |       319,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     714-5| |PAO C/OVO UND                 | | 2012537| |056/012/001 | |           4| |UN/00001  | |         7,00| |        28,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     725-0| |PAO C/OVO/QUEIJO/PRESUNTO UND | | 2012537| |056/012/001 | |           5| |UN/00001  | |        12,00| |        60,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     742-0| |SANDUICHE X BURGUER FOLHEADO U| | 2012537| |056/004/001 | |          12| |UN/00001  | |         9,90| |       118,80| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     743-9| |SANDUICHE X CALABRESA FOLHEADO| | 2012537| |056/004/001 | |          19| |UN/00001  | |         9,90| |       188,10| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     745-5| |SANDUICHE BAURU PEITO PERU FOL| | 2012537| |056/004/001 | |          12| |UN/00001  | |         9,00| |       108,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     793-5| |TORTELETE CHOCOLATE UND       | | 2012537| |056/020/001 | |           4| |UN/00001  | |         6,00| |        24,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     915-6| |CAFE EXPRESSO C/LEITE PEQ     | | 2012537| |056/008/001 | |           5| |UN/00001  | |         4,00| |        20,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     930-0| |CROISSANT FRANGO UND          | | 2012537| |056/004/001 | |          12| |UN/00001  | |         8,00| |        96,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     954-7| |BOLO CONF BRIGADEIRO LANCH FAT| | 1023489| |056/013/001 | |           8| |UN/00001  | |         8,00| |        64,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     960-1| |BOLO CONF CUPUACU C/CASTANHA L| | 1023489| |056/013/001 | |           1| |UN/00001  | |         8,00| |         8,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     961-0| |BOLO CONF PRESTIGIO LANCH FATI| | 1023489| |056/013/001 | |           2| |UN/00001  | |         8,00| |        16,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     988-1| |AGUA MINERAL C/GAS GELADA     | | 2012537| |056/011/001 | |           1| |UN/00001  | |         3,00| |         3,00| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |     998-9| |TORTA MARIA IZABEL C/BACURI FA| | 1023489| |056/019/001 | |           3| |UN/00001  | |         8,95| |        26,85| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1010-3| |PIZZA LIDER KG                | | 2012537| |083/001/001 | |       62,26| |KG/00001  | |        48,00| |     2.988,48| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
                       Compras - Últimas Movimentações                 04/01/25 
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
                   ANALÍTICO - Período: 03/01/25 à 03/01/25                     
E/S| |Tp.NF| |  Nro Nota| | Agenda| |Data    | |   Produto| |Descrição Produto             | |   Forn.| |Sec/Grp/SGrp| |        Qtde| |Emb       | |     Custo Un| |    Custo Tot| |Vencimento| |Filial   | |Orig/Dest| |Descrição                     

S  | |V    | |     63337| |     33| |03/01/25| |    1017-0| |SOPA LIDER kg                 | | 2012537| |040/002/001 | |      21,584| |KG/00001  | |        49,00| |     1.057,61| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1038-3| |PRESUNTO SADIA SUINO S/CAPA P/| |  116408| |030/009/001 | |       0,506| |KG/00001  | |        32,55| |        16,47| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1053-7| |LING SADIA CALABRESA A GRANEL | |  116408| |030/005/001 | |       2,216| |KG/00001  | |        29,99| |        66,45| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1072-3| |LING FRANGO ASSADA KG         | | 2012537| |047/002/001 | |       0,968| |KG/00001  | |        59,09| |        57,20| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1084-7| |MANTEIGA ILDA A GRANEL KG  (10| |  220400| |033/004/004 | |        2,45| |KG/00001  | |        49,90| |       122,26| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1104-5| |MASSA P/PIZZA KG              | | 2012537| |083/001/001 | |        2,19| |KG/00001  | |        45,00| |        98,55| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1105-3| |BOLO MACAXEIRA KG             | | 1023489| |045/001/001 | |       7,882| |KG/00001  | |        23,70| |       186,82| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1106-1| |SALS HOT DOG A GRANEL KG (18) | | 1082124| |030/011/001 | |      38,919| |KG/00001  | |         8,69| |       338,20| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1107-0| |TORTA MARIA ISABEL KG +++     | | 1023489| |045/002/001 | |        5,56| |KG/00001  | |        49,90| |       277,44| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
S  | |V    | |     63337| |     33| |03/01/25| |    1108-8| |MARG PRIMOR A GRANEL KG +++   | | 7008848| |003/003/001 | |       4,922| |KG/00001  | |        12,90| |        63,51| |03/01/25  | |40-0     | |20000-0  | |CLIENTE VAREJO PADRAO         
